"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"266",1972,0,1,0,0,0,0,0,2,NA
"267",1972,0,1,0,0,0,0,0,2,"Independent"
"268",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"269",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"270",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"271",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"272",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"273",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"274",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"275",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"276",1972,0,1,0,0,0,0,0,2,"Independent"
"277",1972,0,0,0,0,0,0,1,7,"Independent"
"278",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"279",1972,0,0,0,0,0,1,0,6,"Moderate Democrat"
"280",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"281",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"282",1972,1,0,0,0,0,0,0,1,NA
"283",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"284",1972,1,0,0,0,0,0,0,1,NA
"285",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"286",1972,0,0,1,0,0,0,0,4,"Lean Republican"
"287",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"288",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"289",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"290",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"291",1972,0,0,1,0,0,0,0,4,"Independent"
"292",1972,0,0,0,0,0,0,1,7,"Independent"
"293",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"294",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"295",1972,0,0,1,0,0,0,0,4,"Independent"
"296",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"297",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"298",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"299",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"300",1972,0,0,1,0,0,0,0,4,NA
"301",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"302",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"303",1972,0,0,0,1,0,0,0,3,"Lean Democrat"
"304",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"305",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"306",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"307",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"308",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"309",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"310",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"311",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"312",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"313",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"314",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"315",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"316",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"317",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"318",1972,0,0,0,0,0,0,1,7,"Strong Democrat"
"319",1972,0,0,1,0,0,0,0,4,NA
"320",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"321",1972,0,0,1,0,0,0,0,4,NA
"322",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"323",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"324",1972,0,0,1,0,0,0,0,4,NA
"325",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"326",1972,0,0,0,0,0,1,0,6,"Lean Democrat"
"327",1972,0,0,1,0,0,0,0,4,"Lean Republican"
"328",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"329",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"330",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"331",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"332",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"333",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"334",1972,0,0,1,0,0,0,0,4,"Strong Republican"
"335",1972,0,1,0,0,0,0,0,2,NA
"336",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"337",1972,0,0,1,0,0,0,0,4,NA
"338",1972,0,0,1,0,0,0,0,4,NA
"339",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"340",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"341",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"342",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"343",1972,0,0,0,1,0,0,0,3,NA
"344",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"345",1972,0,0,0,1,0,0,0,3,NA
"346",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"347",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"348",1972,0,0,0,0,0,0,0,NA,"Moderate Democrat"
"349",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"350",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"351",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"352",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"353",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"354",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"355",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"356",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"357",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"358",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"359",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"360",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"361",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"362",1972,1,0,0,0,0,0,0,1,"Independent"
"363",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"364",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"365",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"366",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"367",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"368",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"369",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"370",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"371",1972,0,0,1,0,0,0,0,4,"Independent"
"372",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"373",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"374",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"375",1972,0,0,1,0,0,0,0,4,"Independent"
"376",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"377",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"378",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"379",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"380",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"381",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"382",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"383",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"384",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"385",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"386",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"387",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"388",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"389",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"390",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"391",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"392",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"393",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"394",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"395",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"396",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"397",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"398",1972,0,0,0,1,0,0,0,3,NA
"399",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"400",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"401",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"402",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"403",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"404",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"405",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"406",1972,0,1,0,0,0,0,0,2,"Independent"
"407",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"408",1972,1,0,0,0,0,0,0,1,"Strong Republican"
"409",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"410",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"411",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"412",1972,0,0,0,1,0,0,0,3,"Strong Republican"
"413",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"414",1972,1,0,0,0,0,0,0,1,"Strong Republican"
"415",1972,0,0,0,0,0,0,1,7,"Lean Democrat"
"416",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"417",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"418",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"419",1972,0,0,1,0,0,0,0,4,"Strong Republican"
"420",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"421",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"422",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"423",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"424",1972,0,1,0,0,0,0,0,2,"Independent"
"425",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"426",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"427",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"428",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"429",1972,0,0,1,0,0,0,0,4,"Independent"
"430",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"431",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"432",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"433",1972,0,0,0,0,0,0,1,7,"Moderate Democrat"
"434",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"435",1972,0,0,0,0,0,0,1,7,"Lean Democrat"
"436",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"437",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
