"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"325",1972,0,0,1,0,0,0,0,4,1
"326",1972,0,0,0,0,0,1,0,6,2
"327",1972,0,0,1,0,0,0,0,4,4
"328",1972,0,1,0,0,0,0,0,2,2
"329",1972,1,0,0,0,0,0,0,1,5
"330",1972,0,0,1,0,0,0,0,4,2
"331",1972,0,0,1,0,0,0,0,4,2
"332",1972,0,0,1,0,0,0,0,4,1
"333",1972,0,1,0,0,0,0,0,2,6
"334",1972,0,0,1,0,0,0,0,4,6
"335",1972,0,1,0,0,0,0,0,2,NA
"336",1972,0,1,0,0,0,0,0,2,5
"337",1972,0,0,1,0,0,0,0,4,NA
"338",1972,0,0,1,0,0,0,0,4,NA
"339",1972,0,1,0,0,0,0,0,2,6
"340",1972,0,0,0,1,0,0,0,3,1
"341",1972,0,0,0,1,0,0,0,3,1
"342",1972,0,0,0,1,0,0,0,3,0
"343",1972,0,0,0,1,0,0,0,3,NA
"344",1972,0,0,0,1,0,0,0,3,1
"345",1972,0,0,0,1,0,0,0,3,NA
"346",1972,0,0,0,1,0,0,0,3,1
"347",1972,1,0,0,0,0,0,0,1,0
"348",1972,0,0,0,0,0,0,0,NaN,1
"349",1972,1,0,0,0,0,0,0,1,5
"350",1972,0,1,0,0,0,0,0,2,1
"351",1972,0,1,0,0,0,0,0,2,1
"352",1972,0,0,1,0,0,0,0,4,2
"353",1972,1,0,0,0,0,0,0,1,0
"354",1972,0,0,0,1,0,0,0,3,0
"355",1972,0,0,0,1,0,0,0,3,0
"356",1972,0,0,0,1,0,0,0,3,0
"357",1972,0,0,0,1,0,0,0,3,0
"358",1972,0,0,0,1,0,0,0,3,0
"359",1972,0,0,0,1,0,0,0,3,0
"360",1972,0,0,0,1,0,0,0,3,1
"361",1972,0,0,0,1,0,0,0,3,0
"362",1972,1,0,0,0,0,0,0,1,3
"363",1972,0,1,0,0,0,0,0,2,5
"364",1972,0,1,0,0,0,0,0,2,1
"365",1972,0,1,0,0,0,0,0,2,5
"366",1972,0,1,0,0,0,0,0,2,5
"367",1972,0,1,0,0,0,0,0,2,5
"368",1972,0,1,0,0,0,0,0,2,4
"369",1972,0,0,1,0,0,0,0,4,0
"370",1972,0,0,1,0,0,0,0,4,1
"371",1972,0,0,1,0,0,0,0,4,3
"372",1972,0,0,1,0,0,0,0,4,5
"373",1972,0,0,1,0,0,0,0,4,0
"374",1972,0,0,1,0,0,0,0,4,1
"375",1972,0,0,1,0,0,0,0,4,3
"376",1972,0,0,1,0,0,0,0,4,1
"377",1972,0,1,0,0,0,0,0,2,5
"378",1972,0,0,1,0,0,0,0,4,5
"379",1972,0,1,0,0,0,0,0,2,5
"380",1972,0,1,0,0,0,0,0,2,5
"381",1972,0,1,0,0,0,0,0,2,5
"382",1972,0,1,0,0,0,0,0,2,6
"383",1972,0,1,0,0,0,0,0,2,1
"384",1972,0,0,1,0,0,0,0,4,5
"385",1972,0,1,0,0,0,0,0,2,6
"386",1972,0,1,0,0,0,0,0,2,1
"387",1972,1,0,0,0,0,0,0,1,1
"388",1972,0,1,0,0,0,0,0,2,1
"389",1972,1,0,0,0,0,0,0,1,1
"390",1972,0,1,0,0,0,0,0,2,0
"391",1972,0,0,0,1,0,0,0,3,1
"392",1972,0,0,0,1,0,0,0,3,0
"393",1972,0,0,0,1,0,0,0,3,0
"394",1972,0,0,0,1,0,0,0,3,0
"395",1972,0,0,0,1,0,0,0,3,0
"396",1972,0,0,0,1,0,0,0,3,0
"397",1972,0,0,0,1,0,0,0,3,0
"398",1972,0,0,0,1,0,0,0,3,NA
"399",1972,0,0,0,1,0,0,0,3,1
"400",1972,0,0,0,1,0,0,0,3,0
"401",1972,0,0,1,0,0,0,0,4,1
"402",1972,0,1,0,0,0,0,0,2,1
"403",1972,0,0,1,0,0,0,0,4,1
"404",1972,0,1,0,0,0,0,0,2,1
"405",1972,0,1,0,0,0,0,0,2,1
"406",1972,0,1,0,0,0,0,0,2,3
"407",1972,0,1,0,0,0,0,0,2,5
"408",1972,1,0,0,0,0,0,0,1,6
"409",1972,1,0,0,0,0,0,0,1,5
"410",1972,0,0,0,1,0,0,0,3,1
"411",1972,0,1,0,0,0,0,0,2,6
"412",1972,0,0,0,1,0,0,0,3,6
